FOOD_NAME,EXPIRY_DATE
ONIONS (NOT PICKLED) COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
ONIONS ALL VARIETIES EXCEPT SWEET (INCLUDING YELLOW WHITE PEARL) - FRESH RAW WHOLE,75
PARSNIPS - FRESH COOKED,4
PARSNIPS - FRESH RAW,24
PEAS AND CARROTS / ONIONS COMMERCIALLY CANNED OR BOTTLED — OPENED,3
PEAS AND CARROTS / ONIONS COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1277
PEAS GREEN - COMMERCIALLY FROZEN,330
PEAS GREEN - FRESH COOKED,4
PEAS GREEN — FRESH RAW,4
PEAS GREEN COMMERCIALLY CANNED OR BOTTLED — OPENED,3
PEAS GREEN COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
PEPPERS ALL VARIETIES (INCLUDING BELL PEPPERS) - FRESH COOKED,4
PEPPERS ALL VARIETIES- COMMERCIALLY FROZEN,330
PEPPERS ROASTED COMMERCIALLY  CANNED OR BOTTLED - OPENED,45
PEPPERS ROASTED COMMERCIALLY  CANNED OR BOTTLED - UNOPENED,1277
PICKLED BEETS COMMERCIALLY JARRED OR CANNED SOLD UNREFRIGERATED  - OPENED,60
PICKLED BEETS COMMERCIALLY JARRED OR CANNED SOLD UNREFRIGERATED  - UNOPENED,450
PICKLED PEPPERS COMMERCIALLY JARRED SOLD UNREFRIGERATED  - OPENED,365
PICKLED PEPPERS COMMERCIALLY JARRED SOLD UNREFRIGERATED  - UNOPENED,730
PIMIENTOS (PIMENTOS) — FRESH RAW,10
PIMIENTOS (PIMENTOS) COMMERCIALLY  CANNED OR BOTTLED - OPENED,3
PIMIENTOS (PIMENTOS) COMMERCIALLY  CANNED OR BOTTLED - UNOPENED,1460
POBLANO PEPPERS — FRESH RAW SLICED OR CHOPPED,2
POBLANO PEPPERS — FRESH RAW WHOLE,7
POTATO SALAD - HOMEMADE OR STORE-PREPARED,4
POTATOES (ALL VARIETIES EXCEPT SWEET POTATOES AND YAMS) - FRESH COOKED (INCLUDING BAKED MASHED SCALLOPED ROASTED),4
POTATOES (ALL VARIETIES EXCEPT SWEET POTATOES AND YAMS) - FRESH RAW,10
POTATOES - COMMERCIALLY FROZEN,330
POTATOES COMMERCIALLY CANNED OR BOTTLED — OPENED,3
POTATOES COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
POTATOES PACKAGED INSTANT MIX — UNOPENED OR OPENED,450
PUMPKIN — FRESH COOKED,4
PUMPKIN — FRESH RAW CUT UP,3
PUMPKIN - FRESH RAW WHOLE,45
PUMPKIN CANDIED — UNOPENED OR OPENED PACKAGE,360
PUMPKIN COMMERCIALLY CANNED OR BOTTLED — OPENED,6
PUMPKIN COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
RADICCHIO — FRESH RAW,4
RADISHES — FRESH RAW,12
RHUBARB - FRESH RAW,6
RUTABAGAS - FRESH COOKED,4
RUTABAGAS - FRESH RAW,17
SALSIFY (VEGETABLE OYSTER) — FRESH COOKED,4
SALSIFY (VEGETABLE OYSTER) — FRESH RAW,10
SAUERKRAUT - FRESH COMMERCIALLY PACKAGED SOLD REFRIGERATED,180
SAUERKRAUT COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,6
SAUERKRAUT COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — UNOPENED,1460
SEAWEED — DRIED,90
SERRANO PEPPERS — FRESH RAW SLICED OR CHOPPED,1
SERRANO PEPPERS — FRESH RAW WHOLE,7
SHALLOTS - FRESH COOKED,4
SHALLOTS - FRESH RAW SLICED OR CHOPPED,8
SHALLOTS - FRESH RAW WHOLE,30
SLICED MUSHROOMS  / CHOPPED MUSHROOMS (INCLUDING WHITE BUTTON PORTABELLA SHIITAKE OYSTER ENOKI VARIETIES) - FRESH RAW,5
SNOW PEAS - FRESH COOKED,4
SNOW PEAS - FRESH RAW,3
SORREL — FRESH RAW,1
SPINACH - COMMERCIALLY FROZEN,330
SPINACH - FRESH COOKED,4
SPINACH - FRESH RAW LOOSE,6
SPINACH COMMERCIALLY CANNED OR BOTTLED — OPENED,3
SPINACH COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
SPINACH FRESH COMMERCIALLY BAGGED AND PREWASHED - OPENED BAG,4
SPINACH FRESH COMMERCIALLY BAGGED AND PREWASHED - UNOPENED BAG,8
SQUASH - COMMERCIALLY FROZEN,330
SQUASH SOUP — HOMEMADE,3
SQUASH COMMERCIALLY CANNED OR BOTTLED (INCLUDING ZUCCHINI CROOKNECK SCALLOP PATTY PAN) — OPENED,3
SQUASH COMMERCIALLY CANNED OR BOTTLED (INCLUDING ZUCCHINI CROOKNECK SCALLOP PATTY PAN) — UNOPENED,1460
SQUASH SUMMER (INCLUDING ZUCCHINI CROOKNECK SCALLOP PATTY PAN) — FRESH RAW SLICED OR CHOPPED,2
SQUASH SUMMER (INCLUDING ZUCCHINI CROOKNECK SCALLOP PATTY PAN) - FRESH COOKED,4
SQUASH WINTER (INCLUDING ACORN HUBBARD BUTTERNUT SPAGHETTI) — FRESH RAW SLICED OR CHOPPED,3
SQUASH WINTER (INCLUDING ACORN HUBBARD BUTTERNUT SPAGHETTI) - FRESH COOKED,4
SQUASH WINTER (INCLUDING ACORN HUBBARD BUTTERNUT SPAGHETTI) - FRESH RAW WHOLE,45
SUCCOTASH (CORN AND LIMAS) - COMMERCIALLY FROZEN,330
SUGAR SNAP PEAS - FRESH COOKED,4
SUGAR SNAP PEAS - FRESH RAW,4
SUMMER SQUASH (INCLUDING CROOKNECK SCALLOP PATTY PAN) — FRESH RAW WHOLE,4
SWEET ONIONS (INCLUDING VIDALIA MAUI VARIETIES) - FRESH RAW WHOLE,45
SWEET POTATOES - FRESH COOKED (INCLUDING BAKED MASHED CASSEROLES),4
SWEET POTATOES - FRESH RAW,10
SWEET POTATOES COMMERCIALLY CANNED OR BOTTLED — OPENED,3
SWEET POTATOES COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
SWISS CHARD — FRESH COOKED,4
SWISS CHARD — FRESH RAW,2
TAMARILLOS,8
TARO — FRESH COOKED,4
TARO — FRESH RAW,2
TOMATILLOS - FRESH RAW,17
TOMATO BISQUE — HOMEMADE,3
TOMATO BISQUE COMMERCIALLY CANNED OR BOTTLED - UNOPENED,450
TOMATO BISQUE COMMERCIALLY CANNED OR BOTTLED — OPENED,3
TOMATO JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED  — UNOPENED,630
TOMATO JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,8
TOMATO PASTE  SOLD IN TUBE — UNOPENED,912
TOMATO PASTE COMMERCIALLY CANNED - OPENED,6
TOMATO PASTE COMMERCIALLY CANNED OR BOTTLED — UNOPENED,630
TOMATO PASTE SOLD  IN TUBE — OPENED,49
TOMATO PUREE COMMERCIALLY CANNED OR BOTTLED - OPENED,6
TOMATO PUREE COMMERCIALLY CANNED OR BOTTLED - UNOPENED,450
TOMATO SAUCE COMMERCIALLY CANNED OR BOTTLED - OPENED,6
TOMATO SAUCE COMMERCIALLY CANNED OR BOTTLED - UNOPENED,630
TOMATO SOUP — HOMEMADE,3
TOMATO SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — OPENED,3
TOMATO SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — UNOPENED,630
TOMATOES  (INCLUDING RED YELLOW GREEN CHERRY PLUM ROMA) - FRESH COOKED,4
TOMATOES (INCLUDING RED YELLOW GREEN CHERRY PLUM ROMA) - FRESH RAW SLICED OR CHOPPED,3
TOMATOES (INCLUDING RED YELLOW GREEN CHERRY PLUM ROMA) - FRESH RAW WHOLE,3
TOMATOES COMMERCIALLY CANNED OR PACKAGED (INCLUDING CRUSHED STEWED WHOLE OR DICED) - OPENED,6
TOMATOES COMMERCIALLY CANNED OR PACKAGED (INCLUDING CRUSHED STEWED WHOLE OR DICED) - UNOPENED,630
TOMATOES SUN-DRIED PACKAGED IN CELLOPHANE — OPENED,135
TOMATOES SUN-DRIED PACKAGED IN CELLOPHANE — UNOPENED,270
TOMATOES SUN-DRIED PACKED IN OIL — OPENED,270
TOMATOES SUN-DRIED PACKED IN OIL — UNOPENED,360
TRUFFLES — FRESH,8
TRUFFLES COMMERCIALLY CANNED OR BOTTLED — OPENED,6
